Age-cohort,Region,Powertrain,Segment,Values
1900.0,North America,ICEV,AB,0.0
1900.0,North America,ICEV,C,0.0
1900.0,North America,ICEV,DE,0.0
1900.0,North America,ICEV,SUV,0.0
1900.0,North America,HEV,AB,0.0
1900.0,North America,HEV,C,0.0
1900.0,North America,HEV,DE,0.0
1900.0,North America,HEV,SUV,0.0
1900.0,North America,PHEV,AB,0.0
1900.0,North America,PHEV,C,0.0
1900.0,North America,PHEV,DE,0.0
1900.0,North America,PHEV,SUV,0.0
1900.0,North America,BEV,AB,0.0
1900.0,North America,BEV,C,0.0
1900.0,North America,BEV,DE,0.0
1900.0,North America,BEV,SUV,0.0
1900.0,Europe,ICEV,AB,0.0
1900.0,Europe,ICEV,C,0.0
1900.0,Europe,ICEV,DE,0.0
1900.0,Europe,ICEV,SUV,0.0
1900.0,Europe,HEV,AB,0.0
1900.0,Europe,HEV,C,0.0
1900.0,Europe,HEV,DE,0.0
1900.0,Europe,HEV,SUV,0.0
1900.0,Europe,PHEV,AB,0.0
1900.0,Europe,PHEV,C,0.0
1900.0,Europe,PHEV,DE,0.0
1900.0,Europe,PHEV,SUV,0.0
1900.0,Europe,BEV,AB,0.0
1900.0,Europe,BEV,C,0.0
1900.0,Europe,BEV,DE,0.0
1900.0,Europe,BEV,SUV,0.0
1900.0,China,ICEV,AB,0.0
1900.0,China,ICEV,C,0.0
1900.0,China,ICEV,DE,0.0
1900.0,China,ICEV,SUV,0.0
1900.0,China,HEV,AB,0.0
1900.0,China,HEV,C,0.0
1900.0,China,HEV,DE,0.0
1900.0,China,HEV,SUV,0.0
1900.0,China,PHEV,AB,0.0
1900.0,China,PHEV,C,0.0
1900.0,China,PHEV,DE,0.0
1900.0,China,PHEV,SUV,0.0
1900.0,China,BEV,AB,0.0
1900.0,China,BEV,C,0.0
1900.0,China,BEV,DE,0.0
1900.0,China,BEV,SUV,0.0
1900.0,Japan and South Korea,ICEV,AB,0.0
1900.0,Japan and South Korea,ICEV,C,0.0
1900.0,Japan and South Korea,ICEV,DE,0.0
1900.0,Japan and South Korea,ICEV,SUV,0.0
1900.0,Japan and South Korea,HEV,AB,0.0
1900.0,Japan and South Korea,HEV,C,0.0
1900.0,Japan and South Korea,HEV,DE,0.0
1900.0,Japan and South Korea,HEV,SUV,0.0
1900.0,Japan and South Korea,PHEV,AB,0.0
1900.0,Japan and South Korea,PHEV,C,0.0
1900.0,Japan and South Korea,PHEV,DE,0.0
1900.0,Japan and South Korea,PHEV,SUV,0.0
1900.0,Japan and South Korea,BEV,AB,0.0
1900.0,Japan and South Korea,BEV,C,0.0
1900.0,Japan and South Korea,BEV,DE,0.0
1900.0,Japan and South Korea,BEV,SUV,0.0
1900.0,Rest of the world,ICEV,AB,0.0
1900.0,Rest of the world,ICEV,C,0.0
1900.0,Rest of the world,ICEV,DE,0.0
1900.0,Rest of the world,ICEV,SUV,0.0
1900.0,Rest of the world,HEV,AB,0.0
1900.0,Rest of the world,HEV,C,0.0
1900.0,Rest of the world,HEV,DE,0.0
1900.0,Rest of the world,HEV,SUV,0.0
1900.0,Rest of the world,PHEV,AB,0.0
1900.0,Rest of the world,PHEV,C,0.0
1900.0,Rest of the world,PHEV,DE,0.0
1900.0,Rest of the world,PHEV,SUV,0.0
1900.0,Rest of the world,BEV,AB,0.0
1900.0,Rest of the world,BEV,C,0.0
1900.0,Rest of the world,BEV,DE,0.0
1900.0,Rest of the world,BEV,SUV,0.0
1901.0,North America,ICEV,AB,750667.3222080632
1901.0,North America,ICEV,C,922728.6623662687
1901.0,North America,ICEV,DE,1180375.4103498103
1901.0,North America,ICEV,SUV,502696.8003408713
1901.0,North America,HEV,AB,0.0
1901.0,North America,HEV,C,0.0
1901.0,North America,HEV,DE,0.0
1901.0,North America,HEV,SUV,0.0
1901.0,North America,PHEV,AB,0.0
1901.0,North America,PHEV,C,0.0
1901.0,North America,PHEV,DE,0.0
1901.0,North America,PHEV,SUV,0.0
1901.0,North America,BEV,AB,0.0
1901.0,North America,BEV,C,0.0
1901.0,North America,BEV,DE,0.0
1901.0,North America,BEV,SUV,0.0
1901.0,Europe,ICEV,AB,1541376.8011564459
1901.0,Europe,ICEV,C,1894677.591332892
1901.0,Europe,ICEV,DE,2423714.5008750386
1901.0,Europe,ICEV,SUV,1032208.4938795671
1901.0,Europe,HEV,AB,0.0
1901.0,Europe,HEV,C,0.0
1901.0,Europe,HEV,DE,0.0
1901.0,Europe,HEV,SUV,0.0
1901.0,Europe,PHEV,AB,0.0
1901.0,Europe,PHEV,C,0.0
1901.0,Europe,PHEV,DE,0.0
1901.0,Europe,PHEV,SUV,0.0
1901.0,Europe,BEV,AB,0.0
1901.0,Europe,BEV,C,0.0
1901.0,Europe,BEV,DE,0.0
1901.0,Europe,BEV,SUV,0.0
1901.0,China,ICEV,AB,42.81350367517052
1901.0,China,ICEV,C,52.62683722690904
1901.0,China,ICEV,DE,67.32144250057738
1901.0,China,ICEV,SUV,28.670771555079128
1901.0,China,HEV,AB,0.0
1901.0,China,HEV,C,0.0
1901.0,China,HEV,DE,0.0
1901.0,China,HEV,SUV,0.0
1901.0,China,PHEV,AB,0.0
1901.0,China,PHEV,C,0.0
1901.0,China,PHEV,DE,0.0
1901.0,China,PHEV,SUV,0.0
1901.0,China,BEV,AB,0.0
1901.0,China,BEV,C,0.0
1901.0,China,BEV,DE,0.0
1901.0,China,BEV,SUV,0.0
1901.0,Japan and South Korea,ICEV,AB,7037.556626579915
1901.0,Japan and South Korea,ICEV,C,8650.643261344836
1901.0,Japan and South Korea,ICEV,DE,11066.09884992016
1901.0,Japan and South Korea,ICEV,SUV,4712.8163085522665
1901.0,Japan and South Korea,HEV,AB,0.0
1901.0,Japan and South Korea,HEV,C,0.0
1901.0,Japan and South Korea,HEV,DE,0.0
1901.0,Japan and South Korea,HEV,SUV,0.0
1901.0,Japan and South Korea,PHEV,AB,0.0
1901.0,Japan and South Korea,PHEV,C,0.0
1901.0,Japan and South Korea,PHEV,DE,0.0
1901.0,Japan and South Korea,PHEV,SUV,0.0
1901.0,Japan and South Korea,BEV,AB,0.0
1901.0,Japan and South Korea,BEV,C,0.0
1901.0,Japan and South Korea,BEV,DE,0.0
1901.0,Japan and South Korea,BEV,SUV,0.0
1901.0,Rest of the world,ICEV,AB,1344.6915713260069
1901.0,Rest of the world,ICEV,C,1652.9099085532494
1901.0,Rest of the world,ICEV,DE,2114.4398035457966
1901.0,Rest of the world,ICEV,SUV,900.4949734092226
1901.0,Rest of the world,HEV,AB,0.0
1901.0,Rest of the world,HEV,C,0.0
1901.0,Rest of the world,HEV,DE,0.0
1901.0,Rest of the world,HEV,SUV,0.0
1901.0,Rest of the world,PHEV,AB,0.0
1901.0,Rest of the world,PHEV,C,0.0
1901.0,Rest of the world,PHEV,DE,0.0
1901.0,Rest of the world,PHEV,SUV,0.0
1901.0,Rest of the world,BEV,AB,0.0
1901.0,Rest of the world,BEV,C,0.0
1901.0,Rest of the world,BEV,DE,0.0
1901.0,Rest of the world,BEV,SUV,0.0
1902.0,North America,ICEV,AB,1501369.90190556
1902.0,North America,ICEV,C,1845500.6636326076
1902.0,North America,ICEV,DE,2360806.260802482
1902.0,North America,ICEV,SUV,1005417.2114432636
1902.0,North America,HEV,AB,0.0
1902.0,North America,HEV,C,0.0
1902.0,North America,HEV,DE,0.0
1902.0,North America,HEV,SUV,0.0
1902.0,North America,PHEV,AB,0.0
1902.0,North America,PHEV,C,0.0
1902.0,North America,PHEV,DE,0.0
1902.0,North America,PHEV,SUV,0.0
1902.0,North America,BEV,AB,0.0
1902.0,North America,BEV,C,0.0
1902.0,North America,BEV,DE,0.0
1902.0,North America,BEV,SUV,0.0
1902.0,Europe,ICEV,AB,3082753.6023128917
1902.0,Europe,ICEV,C,3789355.182665784
1902.0,Europe,ICEV,DE,4847429.001750077
1902.0,Europe,ICEV,SUV,2064416.9877591343
1902.0,Europe,HEV,AB,0.0
1902.0,Europe,HEV,C,0.0
1902.0,Europe,HEV,DE,0.0
1902.0,Europe,HEV,SUV,0.0
1902.0,Europe,PHEV,AB,0.0
1902.0,Europe,PHEV,C,0.0
1902.0,Europe,PHEV,DE,0.0
1902.0,Europe,PHEV,SUV,0.0
1902.0,Europe,BEV,AB,0.0
1902.0,Europe,BEV,C,0.0
1902.0,Europe,BEV,DE,0.0
1902.0,Europe,BEV,SUV,0.0
1902.0,China,ICEV,AB,85.62726667253922
1902.0,China,ICEV,C,105.2539932155624
1902.0,China,ICEV,DE,134.64329276840002
1902.0,China,ICEV,SUV,57.341716769561586
1902.0,China,HEV,AB,0.0
1902.0,China,HEV,C,0.0
1902.0,China,HEV,DE,0.0
1902.0,China,HEV,SUV,0.0
1902.0,China,PHEV,AB,0.0
1902.0,China,PHEV,C,0.0
1902.0,China,PHEV,DE,0.0
1902.0,China,PHEV,SUV,0.0
1902.0,China,BEV,AB,0.0
1902.0,China,BEV,C,0.0
1902.0,China,BEV,DE,0.0
1902.0,China,BEV,SUV,0.0
1902.0,Japan and South Korea,ICEV,AB,14074.195891839754
1902.0,Japan and South Korea,ICEV,C,17300.158891902054
1902.0,Japan and South Korea,ICEV,DE,22130.755208989056
1902.0,Japan and South Korea,ICEV,SUV,9425.018290908738
1902.0,Japan and South Korea,HEV,AB,0.0
1902.0,Japan and South Korea,HEV,C,0.0
1902.0,Japan and South Korea,HEV,DE,0.0
1902.0,Japan and South Korea,HEV,SUV,0.0
1902.0,Japan and South Korea,PHEV,AB,0.0
1902.0,Japan and South Korea,PHEV,C,0.0
1902.0,Japan and South Korea,PHEV,DE,0.0
1902.0,Japan and South Korea,PHEV,SUV,0.0
1902.0,Japan and South Korea,BEV,AB,0.0
1902.0,Japan and South Korea,BEV,C,0.0
1902.0,Japan and South Korea,BEV,DE,0.0
1902.0,Japan and South Korea,BEV,SUV,0.0
1902.0,Rest of the world,ICEV,AB,2689.444594329056
1902.0,Rest of the world,ICEV,C,3305.8953541947394
1902.0,Rest of the world,ICEV,DE,4228.976235846249
1902.0,Rest of the world,ICEV,SUV,1801.0310989513684
1902.0,Rest of the world,HEV,AB,0.0
1902.0,Rest of the world,HEV,C,0.0
1902.0,Rest of the world,HEV,DE,0.0
1902.0,Rest of the world,HEV,SUV,0.0
1902.0,Rest of the world,PHEV,AB,0.0
1902.0,Rest of the world,PHEV,C,0.0
1902.0,Rest of the world,PHEV,DE,0.0
1902.0,Rest of the world,PHEV,SUV,0.0
1902.0,Rest of the world,BEV,AB,0.0
1902.0,Rest of the world,BEV,C,0.0
1902.0,Rest of the world,BEV,DE,0.0
1902.0,Rest of the world,BEV,SUV,0.0
1903.0,North America,ICEV,AB,2252156.6121051474
1903.0,North America,ICEV,C,2768376.0790524096
1903.0,North America,ICEV,DE,3541369.4009832265
1903.0,North America,ICEV,SUV,1508193.9619292428
1903.0,North America,HEV,AB,0.0
1903.0,North America,HEV,C,0.0
1903.0,North America,HEV,DE,0.0
1903.0,North America,HEV,SUV,0.0
1903.0,North America,PHEV,AB,0.0
1903.0,North America,PHEV,C,0.0
1903.0,North America,PHEV,DE,0.0
1903.0,North America,PHEV,SUV,0.0
1903.0,North America,BEV,AB,0.0
1903.0,North America,BEV,C,0.0
1903.0,North America,BEV,DE,0.0
1903.0,North America,BEV,SUV,0.0
1903.0,Europe,ICEV,AB,4624130.403469341
1903.0,Europe,ICEV,C,5684032.7739986805
1903.0,Europe,ICEV,DE,7271143.502625121
1903.0,Europe,ICEV,SUV,3096625.481638704
1903.0,Europe,HEV,AB,0.0
1903.0,Europe,HEV,C,0.0
1903.0,Europe,HEV,DE,0.0
1903.0,Europe,HEV,SUV,0.0
1903.0,Europe,PHEV,AB,0.0
1903.0,Europe,PHEV,C,0.0
1903.0,Europe,PHEV,DE,0.0
1903.0,Europe,PHEV,SUV,0.0
1903.0,Europe,BEV,AB,0.0
1903.0,Europe,BEV,C,0.0
1903.0,Europe,BEV,DE,0.0
1903.0,Europe,BEV,SUV,0.0
1903.0,China,ICEV,AB,128.44164751903676
1903.0,China,ICEV,C,157.8819086712704
1903.0,China,ICEV,DE,201.9661145636855
1903.0,China,ICEV,SUV,86.01307573694227
1903.0,China,HEV,AB,0.0
1903.0,China,HEV,C,0.0
1903.0,China,HEV,DE,0.0
1903.0,China,HEV,SUV,0.0
1903.0,China,PHEV,AB,0.0
1903.0,China,PHEV,C,0.0
1903.0,China,PHEV,DE,0.0
1903.0,China,PHEV,SUV,0.0
1903.0,China,BEV,AB,0.0
1903.0,China,BEV,C,0.0
1903.0,China,BEV,DE,0.0
1903.0,China,BEV,SUV,0.0
1903.0,Japan and South Korea,ICEV,AB,21108.721228342987
1903.0,Japan and South Korea,ICEV,C,25947.07605760511
1903.0,Japan and South Korea,ICEV,DE,33192.08755294539
1903.0,Japan and South Korea,ICEV,SUV,14135.804645875212
1903.0,Japan and South Korea,HEV,AB,0.0
1903.0,Japan and South Korea,HEV,C,0.0
1903.0,Japan and South Korea,HEV,DE,0.0
1903.0,Japan and South Korea,HEV,SUV,0.0
1903.0,Japan and South Korea,PHEV,AB,0.0
1903.0,Japan and South Korea,PHEV,C,0.0
1903.0,Japan and South Korea,PHEV,DE,0.0
1903.0,Japan and South Korea,PHEV,SUV,0.0
1903.0,Japan and South Korea,BEV,AB,0.0
1903.0,Japan and South Korea,BEV,C,0.0
1903.0,Japan and South Korea,BEV,DE,0.0
1903.0,Japan and South Korea,BEV,SUV,0.0
1903.0,Rest of the world,ICEV,AB,4034.344620352502
1903.0,Rest of the world,ICEV,C,4959.061497591895
1903.0,Rest of the world,ICEV,DE,6343.743820809658
1903.0,Rest of the world,ICEV,SUV,2701.6656674999003
1903.0,Rest of the world,HEV,AB,0.0
1903.0,Rest of the world,HEV,C,0.0
1903.0,Rest of the world,HEV,DE,0.0
1903.0,Rest of the world,HEV,SUV,0.0
1903.0,Rest of the world,PHEV,AB,0.0
1903.0,Rest of the world,PHEV,C,0.0
1903.0,Rest of the world,PHEV,DE,0.0
1903.0,Rest of the world,PHEV,SUV,0.0
1903.0,Rest of the world,BEV,AB,0.0
1903.0,Rest of the world,BEV,C,0.0
1903.0,Rest of the world,BEV,DE,0.0
1903.0,Rest of the world,BEV,SUV,0.0
1904.0,North America,ICEV,AB,3003129.7632663287
1904.0,North America,ICEV,C,3691480.6697859787
1904.0,North America,ICEV,DE,4722225.707417565
1904.0,North America,ICEV,SUV,2011095.5656918641
1904.0,North America,HEV,AB,0.0
1904.0,North America,HEV,C,0.0
1904.0,North America,HEV,DE,0.0
1904.0,North America,HEV,SUV,0.0
1904.0,North America,PHEV,AB,0.0
1904.0,North America,PHEV,C,0.0
1904.0,North America,PHEV,DE,0.0
1904.0,North America,PHEV,SUV,0.0
1904.0,North America,BEV,AB,0.0
1904.0,North America,BEV,C,0.0
1904.0,North America,BEV,DE,0.0
1904.0,North America,BEV,SUV,0.0
1904.0,Europe,ICEV,AB,6165507.204625777
1904.0,Europe,ICEV,C,7578710.365331561
1904.0,Europe,ICEV,DE,9694858.003500143
1904.0,Europe,ICEV,SUV,4128833.9755182643
1904.0,Europe,HEV,AB,0.0
1904.0,Europe,HEV,C,0.0
1904.0,Europe,HEV,DE,0.0
1904.0,Europe,HEV,SUV,0.0
1904.0,Europe,PHEV,AB,0.0
1904.0,Europe,PHEV,C,0.0
1904.0,Europe,PHEV,DE,0.0
1904.0,Europe,PHEV,SUV,0.0
1904.0,Europe,BEV,AB,0.0
1904.0,Europe,BEV,C,0.0
1904.0,Europe,BEV,DE,0.0
1904.0,Europe,BEV,SUV,0.0
1904.0,China,ICEV,AB,171.2573721206865
1904.0,China,ICEV,C,210.51147588583012
1904.0,China,ICEV,DE,269.2910493263165
1904.0,China,ICEV,SUV,114.6853345722078
1904.0,China,HEV,AB,0.0
1904.0,China,HEV,C,0.0
1904.0,China,HEV,DE,0.0
1904.0,China,HEV,SUV,0.0
1904.0,China,PHEV,AB,0.0
1904.0,China,PHEV,C,0.0
1904.0,China,PHEV,DE,0.0
1904.0,China,PHEV,SUV,0.0
1904.0,China,BEV,AB,0.0
1904.0,China,BEV,C,0.0
1904.0,China,BEV,DE,0.0
1904.0,China,BEV,SUV,0.0
1904.0,Japan and South Korea,ICEV,AB,28138.835368931228
1904.0,Japan and South Korea,ICEV,C,34588.5709319873
1904.0,Japan and South Korea,ICEV,DE,44246.483578995976
1904.0,Japan and South Korea,ICEV,SUV,18843.636970465595
1904.0,Japan and South Korea,HEV,AB,0.0
1904.0,Japan and South Korea,HEV,C,0.0
1904.0,Japan and South Korea,HEV,DE,0.0
1904.0,Japan and South Korea,HEV,SUV,0.0
1904.0,Japan and South Korea,PHEV,AB,0.0
1904.0,Japan and South Korea,PHEV,C,0.0
1904.0,Japan and South Korea,PHEV,DE,0.0
1904.0,Japan and South Korea,PHEV,SUV,0.0
1904.0,Japan and South Korea,BEV,AB,0.0
1904.0,Japan and South Korea,BEV,C,0.0
1904.0,Japan and South Korea,BEV,DE,0.0
1904.0,Japan and South Korea,BEV,SUV,0.0
1904.0,Rest of the world,ICEV,AB,5379.570501880462
1904.0,Rest of the world,ICEV,C,6612.628186217156
1904.0,Rest of the world,ICEV,DE,8459.02379230366
1904.0,Rest of the world,ICEV,SUV,3602.518450581883
1904.0,Rest of the world,HEV,AB,0.0
1904.0,Rest of the world,HEV,C,0.0
1904.0,Rest of the world,HEV,DE,0.0
1904.0,Rest of the world,HEV,SUV,0.0
1904.0,Rest of the world,PHEV,AB,0.0
1904.0,Rest of the world,PHEV,C,0.0
1904.0,Rest of the world,PHEV,DE,0.0
1904.0,Rest of the world,PHEV,SUV,0.0
1904.0,Rest of the world,BEV,AB,0.0
1904.0,Rest of the world,BEV,C,0.0
1904.0,Rest of the world,BEV,DE,0.0
1904.0,Rest of the world,BEV,SUV,0.0
1905.0,North America,ICEV,AB,3754485.5447203023
1905.0,North America,ICEV,C,4615055.5939519545
1905.0,North America,ICEV,DE,5903683.67503457
1905.0,North America,ICEV,SUV,2514253.404164869
1905.0,North America,HEV,AB,0.0
1905.0,North America,HEV,C,0.0
1905.0,North America,HEV,DE,0.0
1905.0,North America,HEV,SUV,0.0
1905.0,North America,PHEV,AB,0.0
1905.0,North America,PHEV,C,0.0
1905.0,North America,PHEV,DE,0.0
1905.0,North America,PHEV,SUV,0.0
1905.0,North America,BEV,AB,0.0
1905.0,North America,BEV,C,0.0
1905.0,North America,BEV,DE,0.0
1905.0,North America,BEV,SUV,0.0
1905.0,Europe,ICEV,AB,7706884.005782234
1905.0,Europe,ICEV,C,9473387.956664467
1905.0,Europe,ICEV,DE,12118572.504375199
1905.0,Europe,ICEV,SUV,5161042.469397839
1905.0,Europe,HEV,AB,0.0
1905.0,Europe,HEV,C,0.0
1905.0,Europe,HEV,DE,0.0
1905.0,Europe,HEV,SUV,0.0
1905.0,Europe,PHEV,AB,0.0
1905.0,Europe,PHEV,C,0.0
1905.0,Europe,PHEV,DE,0.0
1905.0,Europe,PHEV,SUV,0.0
1905.0,Europe,BEV,AB,0.0
1905.0,Europe,BEV,C,0.0
1905.0,Europe,BEV,DE,0.0
1905.0,Europe,BEV,SUV,0.0
1905.0,China,ICEV,AB,214.07575549933588
1905.0,China,ICEV,C,263.14431129879387
1905.0,China,ICEV,DE,336.62016484239064
1905.0,China,ICEV,SUV,143.35937390150974
1905.0,China,HEV,AB,0.0
1905.0,China,HEV,C,0.0
1905.0,China,HEV,DE,0.0
1905.0,China,HEV,SUV,0.0
1905.0,China,PHEV,AB,0.0
1905.0,China,PHEV,C,0.0
1905.0,China,PHEV,DE,0.0
1905.0,China,PHEV,SUV,0.0
1905.0,China,BEV,AB,0.0
1905.0,China,BEV,C,0.0
1905.0,China,BEV,DE,0.0
1905.0,China,BEV,SUV,0.0
1905.0,Japan and South Korea,ICEV,AB,35160.65815416873
1905.0,Japan and South Korea,ICEV,C,43219.87397970319
1905.0,Japan and South Korea,ICEV,DE,55287.84198946779
1905.0,Japan and South Korea,ICEV,SUV,23545.916851673937
1905.0,Japan and South Korea,HEV,AB,0.0
1905.0,Japan and South Korea,HEV,C,0.0
1905.0,Japan and South Korea,HEV,DE,0.0
1905.0,Japan and South Korea,HEV,SUV,0.0
1905.0,Japan and South Korea,PHEV,AB,0.0
1905.0,Japan and South Korea,PHEV,C,0.0
1905.0,Japan and South Korea,PHEV,DE,0.0
1905.0,Japan and South Korea,PHEV,SUV,0.0
1905.0,Japan and South Korea,BEV,AB,0.0
1905.0,Japan and South Korea,BEV,C,0.0
1905.0,Japan and South Korea,BEV,DE,0.0
1905.0,Japan and South Korea,BEV,SUV,0.0
1905.0,Rest of the world,ICEV,AB,6725.463787682876
1905.0,Rest of the world,ICEV,C,8267.015255635886
1905.0,Rest of the world,ICEV,DE,10575.353213495313
1905.0,Rest of the world,ICEV,SUV,4503.8181719857785
1905.0,Rest of the world,HEV,AB,0.0
1905.0,Rest of the world,HEV,C,0.0
1905.0,Rest of the world,HEV,DE,0.0
1905.0,Rest of the world,HEV,SUV,0.0
1905.0,Rest of the world,PHEV,AB,0.0
1905.0,Rest of the world,PHEV,C,0.0
1905.0,Rest of the world,PHEV,DE,0.0
1905.0,Rest of the world,PHEV,SUV,0.0
1905.0,Rest of the world,BEV,AB,0.0
1905.0,Rest of the world,BEV,C,0.0
1905.0,Rest of the world,BEV,DE,0.0
1905.0,Rest of the world,BEV,SUV,0.0
1906.0,North America,ICEV,AB,4506565.964885741
1906.0,North America,ICEV,C,5539521.252121056
1906.0,North America,ICEV,DE,7086281.089768949
1906.0,North America,ICEV,SUV,3017896.5089481003
1906.0,North America,HEV,AB,0.0
1906.0,North America,HEV,C,0.0
1906.0,North America,HEV,DE,0.0
1906.0,North America,HEV,SUV,0.0
1906.0,North America,PHEV,AB,0.0
1906.0,North America,PHEV,C,0.0
1906.0,North America,PHEV,DE,0.0
1906.0,North America,PHEV,SUV,0.0
1906.0,North America,BEV,AB,0.0
1906.0,North America,BEV,C,0.0
1906.0,North America,BEV,DE,0.0
1906.0,North America,BEV,SUV,0.0
1906.0,Europe,ICEV,AB,9248260.806938676
1906.0,Europe,ICEV,C,11368065.547997354
1906.0,Europe,ICEV,DE,14542287.00525023
1906.0,Europe,ICEV,SUV,6193250.963277403
1906.0,Europe,HEV,AB,0.0
1906.0,Europe,HEV,C,0.0
1906.0,Europe,HEV,DE,0.0
1906.0,Europe,HEV,SUV,0.0
1906.0,Europe,PHEV,AB,0.0
1906.0,Europe,PHEV,C,0.0
1906.0,Europe,PHEV,DE,0.0
1906.0,Europe,PHEV,SUV,0.0
1906.0,Europe,BEV,AB,0.0
1906.0,Europe,BEV,C,0.0
1906.0,Europe,BEV,DE,0.0
1906.0,Europe,BEV,SUV,0.0
1906.0,China,ICEV,AB,256.8989020903277
1906.0,China,ICEV,C,315.7830017056054
1906.0,China,ICEV,DE,403.9567701992464
1906.0,China,ICEV,SUV,172.0366029948164
1906.0,China,HEV,AB,0.0
1906.0,China,HEV,C,0.0
1906.0,China,HEV,DE,0.0
1906.0,China,HEV,SUV,0.0
1906.0,China,PHEV,AB,0.0
1906.0,China,PHEV,C,0.0
1906.0,China,PHEV,DE,0.0
1906.0,China,PHEV,SUV,0.0
1906.0,China,BEV,AB,0.0
1906.0,China,BEV,C,0.0
1906.0,China,BEV,DE,0.0
1906.0,China,BEV,SUV,0.0
1906.0,Japan and South Korea,ICEV,AB,42168.550017720845
1906.0,Japan and South Korea,ICEV,C,51834.052982783076
1906.0,Japan and South Korea,ICEV,DE,66307.29493407684
1906.0,Japan and South Korea,ICEV,SUV,28238.86766053577
1906.0,Japan and South Korea,HEV,AB,0.0
1906.0,Japan and South Korea,HEV,C,0.0
1906.0,Japan and South Korea,HEV,DE,0.0
1906.0,Japan and South Korea,HEV,SUV,0.0
1906.0,Japan and South Korea,PHEV,AB,0.0
1906.0,Japan and South Korea,PHEV,C,0.0
1906.0,Japan and South Korea,PHEV,DE,0.0
1906.0,Japan and South Korea,PHEV,SUV,0.0
1906.0,Japan and South Korea,BEV,AB,0.0
1906.0,Japan and South Korea,BEV,C,0.0
1906.0,Japan and South Korea,BEV,DE,0.0
1906.0,Japan and South Korea,BEV,SUV,0.0
1906.0,Rest of the world,ICEV,AB,8072.615557259176
1906.0,Rest of the world,ICEV,C,9922.949267375046
1906.0,Rest of the world,ICEV,DE,12693.66151835097
1906.0,Rest of the world,ICEV,SUV,5405.960657884273
1906.0,Rest of the world,HEV,AB,0.0
1906.0,Rest of the world,HEV,C,0.0
1906.0,Rest of the world,HEV,DE,0.0
1906.0,Rest of the world,HEV,SUV,0.0
1906.0,Rest of the world,PHEV,AB,0.0
1906.0,Rest of the world,PHEV,C,0.0
1906.0,Rest of the world,PHEV,DE,0.0
1906.0,Rest of the world,PHEV,SUV,0.0
1906.0,Rest of the world,BEV,AB,0.0
1906.0,Rest of the world,BEV,C,0.0
1906.0,Rest of the world,BEV,DE,0.0
1906.0,Rest of the world,BEV,SUV,0.0
1907.0,North America,ICEV,AB,5259906.924236137
1907.0,North America,ICEV,C,6465536.379144854
1907.0,North America,ICEV,DE,8270860.620167207
1907.0,North America,ICEV,SUV,3522383.7546659866
1907.0,North America,HEV,AB,0.0
1907.0,North America,HEV,C,0.0
1907.0,North America,HEV,DE,0.0
1907.0,North America,HEV,SUV,0.0
1907.0,North America,PHEV,AB,0.0
1907.0,North America,PHEV,C,0.0
1907.0,North America,PHEV,DE,0.0
1907.0,North America,PHEV,SUV,0.0
1907.0,North America,BEV,AB,0.0
1907.0,North America,BEV,C,0.0
1907.0,North America,BEV,DE,0.0
1907.0,North America,BEV,SUV,0.0
1907.0,Europe,ICEV,AB,10789637.60809512
